,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,0_percentage,nan_percentage,auc,ks,psi
feature53,10986.0,205239.0639237672,388259.8006205587,0.0,0.0,56.625,61513.291665,125311.4,236617.25002500002,609178.875,1276354.924999997,21109678.0,0.023542070152786743,0.5271788250484183,0.5263838584376844,0.04862961585096215,0.015896934429404642
feature54,10986.0,0.44638109790915725,14.317388685876345,0.0,0.0,0.0,0.06683862524999999,0.111345422,0.1853939015,0.46791666675,1.0578754040499991,1001.5435,0.05935011835592856,0.5271788250484183,0.5025732139915472,0.0516874778452191,0.019965919081590868
feature55,10986.0,0.3664359750204815,0.2476503836817368,0.0,0.0,0.0,0.06704545475,0.5,0.5,0.68953867625,0.9714285709999999,2.042553191,0.11715085001075963,0.5271788250484183,0.5193019953590885,0.050068595260412296,0.016272824269077727
feature56,10986.0,-1.4339064665645413,228.37909742814344,-23912.90323,0.0,0.0,0.12146806724999999,0.41587158999999996,1.0,1.3792712550000001,3.5710132838499913,884.3522083999999,0.045362599526576286,0.5271788250484183,0.5595488940177602,0.09203761173532848,0.01566756401845712
feature57,10986.0,31.571308263757484,2842.4895964363827,0.0,0.0,0.0,0.79585352425,1.5063469084999999,4.36443565425,14.348531872499999,28.537721767999944,297930.3333,0.056810845706907684,0.5271788250484183,0.5628104795485595,0.11536533013257644,0.021203144653271357
feature58,10986.0,29.70425996723102,24.692980765833617,1.0,1.0,3.0,11.0,23.0,43.0,80.0,107.0,179.0,0.0,0.5271788250484183,0.5357592410086747,0.061973445996125254,0.014413261659862295
feature59,10251.0,133878.40128898088,167768.63421176074,0.0,0.0,9423.0829025,37506.98435,85421.78667,169776.89985,422188.9803,749035.21045,5760000.0,0.005939315687540349,0.558812136862492,0.5531778577219482,0.08638716575959987,0.014391391946349018
feature60,10251.0,0.49947676688654713,0.13625321437870058,0.0,0.0,0.27906976699999997,0.424242424,0.512820513,0.5764014239999999,0.6974692880000001,0.8673774355,1.0,0.005767161609640629,0.558812136862492,0.5024140379582964,0.020310384883164834,0.015132512494305661
feature61,10251.0,0.8391682180490696,0.23908359262792406,0.0,0.0,0.2842813335,0.774054526,0.953041041,1.0,1.0,1.0,1.0,0.007919087583387132,0.558812136862492,0.5068491696045534,0.026119182476467606,0.014910556830363242
feature62,10251.0,0.05163970292449514,0.08482031737825982,0.0,0.0,0.0,0.0,0.019893138,0.069490682,0.202948652,0.3896120145,1.0,0.1251560146330966,0.558812136862492,0.5099725940877838,0.029337899754196317,0.013989115221051347
feature63,10251.0,30.856892010535557,57.21295355678299,0.0,0.0,0.0,0.0,10.0,35.0,134.0,267.0,934.0,0.1254142457499462,0.558812136862492,0.5270980573935944,0.05090786701114891,0.014614538931790657
